[3.98866473 4.48491014]
[3.89698877 4.31789286]
[3.80168592 4.17583286]
[3.7049403  4.05468098]
[3.60782269 3.94801184]
[3.51513928 3.84734881]
[3.4286658  3.74507358]
[3.34176929 3.65863277]
[3.2578537  3.57899065]
[3.17839549 3.49980496]
[3.10118951 3.42889784]
[3.02792892 3.35851634]
[2.95561373 3.29686385]
[2.88502239 3.24331923]
[2.81841728 3.18914546]
[2.75654013 3.12849991]
[2.69750369 3.0678634 ]
[2.63993471 3.01681471]
[2.58467307 2.96632699]
[2.53066086 2.92006532]
[2.478572   2.87809152]
[2.42796374 2.84020317]
[2.3803453  2.79506738]
[2.33338778 2.7604563 ]
[2.28966525 2.71753764]
[2.24595966 2.68606531]
[2.20495461 2.65087721]
[2.16542259 2.61387302]
[2.12616698 2.58234917]
[2.0884811  2.55396941]
[2.05227218 2.52665873]
[2.01661589 2.50420983]
[1.98248532 2.47734755]
[1.94917736 2.44981252]
[1.9180503  2.41685608]
[1.88830621 2.38585807]
[1.85910096 2.36350282]
[1.83010229 2.33721096]
[1.80161409 2.32000197]
[1.77431672 2.30164502]
[1.74869915 2.27945743]
[1.72216716 2.26355034]
[1.69738394 2.23966758]
[1.67259076 2.22214043]
[1.64903364 2.2102881 ]
[1.62594803 2.18974099]
[1.60404976 2.17305413]
[1.58214501 2.15692729]
[1.56130104 2.13576282]
[1.54003988 2.12778919]
[1.51981501 2.11690479]
