[0.27748503 0.72251497]
[0.30988765 0.69011235]
[0.32641218 0.67358782]
[0.33503378 0.66496622]
[0.34524619 0.65475381]
[0.35086754 0.64913246]
[0.3575829 0.6424171]
[0.35457802 0.64542198]
[0.35183013 0.64816987]
[0.35340838 0.64659162]
[0.34739347 0.65260653]
[0.34569203 0.65430797]
[0.34046738 0.65953262]
[0.33914976 0.66085024]
[0.33477256 0.66522744]
[0.33452952 0.66547048]
[0.33238173 0.66761827]
[0.33438019 0.66561981]
[0.3277838 0.6722162]
[0.31990006 0.68009994]
[0.31744808 0.68255192]
[0.31761937 0.68238063]
[0.31475584 0.68524416]
[0.30781225 0.69218775]
[0.30321878 0.69678122]
[0.29798634 0.70201366]
[0.29622697 0.70377303]
[0.29234801 0.70765199]
[0.29074461 0.70925539]
[0.28550347 0.71449653]
[0.28387079 0.71612921]
[0.28050787 0.71949213]
[0.27894747 0.72105253]
[0.27802961 0.72197039]
[0.27339635 0.72660365]
[0.2705158 0.7294842]
[0.26342916 0.73657084]
[0.25942265 0.74057735]
[0.2579965 0.7420035]
[0.25830904 0.74169096]
[0.25726978 0.74273022]
[0.25004175 0.74995825]
[0.24791256 0.75208744]
[0.24968179 0.75031821]
[0.24743516 0.75256484]
[0.24490212 0.75509788]
[0.24555577 0.75444423]
[0.24344352 0.75655648]
[0.23849821 0.76150179]
[0.23827371 0.76172629]
[0.23542427 0.76457573]
