[0.28211888 0.71788112]
[0.32275651 0.67724349]
[0.34191432 0.65808568]
[0.35053613 0.64946387]
[0.35753836 0.64246164]
[0.36840261 0.63159739]
[0.3601064 0.6398936]
[0.35595078 0.64404922]
[0.34872328 0.65127672]
[0.34969597 0.65030403]
[0.34835351 0.65164649]
[0.34330213 0.65669787]
[0.3399293 0.6600707]
[0.3414957 0.6585043]
[0.33753147 0.66246853]
[0.33299498 0.66700502]
[0.33176207 0.66823793]
[0.32756248 0.67243752]
[0.32477066 0.67522934]
[0.32227345 0.67772655]
[0.31522115 0.68477885]
[0.31265133 0.68734867]
[0.30955627 0.69044373]
[0.30171016 0.69828984]
[0.3007593 0.6992407]
[0.29618135 0.70381865]
[0.29491174 0.70508826]
[0.29144365 0.70855635]
[0.28774053 0.71225947]
[0.28303357 0.71696643]
[0.28012705 0.71987295]
[0.27611174 0.72388826]
[0.27985586 0.72014414]
[0.27808578 0.72191422]
[0.27256616 0.72743384]
[0.26990425 0.73009575]
[0.26615796 0.73384204]
[0.26419049 0.73580951]
[0.26126421 0.73873579]
[0.26110921 0.73889079]
[0.26016713 0.73983287]
[0.25717121 0.74282879]
[0.25391436 0.74608564]
[0.25040971 0.74959029]
[0.24701693 0.75298307]
[0.24522644 0.75477356]
[0.24029939 0.75970061]
[0.23917472 0.76082528]
[0.23786943 0.76213057]
[0.23602504 0.76397496]
[0.23508792 0.76491208]
