[3.99894558 4.49740537]
[3.90869257 4.32574742]
[3.81118451 4.18714543]
[3.71877935 4.0555153 ]
[3.62027584 3.95066083]
[3.52698047 3.85100241]
[3.43864166 3.75193469]
[3.35135774 3.6654441 ]
[3.269975   3.57654908]
[3.18608952 3.51129704]
[3.10958218 3.43609453]
[3.03453538 3.3710873 ]
[2.96331221 3.30509985]
[2.89779521 3.23353313]
[2.83360564 3.17045564]
[2.77125341 3.11192097]
[2.70826908 3.06468044]
[2.64909142 3.01723848]
[2.59219094 2.97332235]
[2.53928774 2.92116632]
[2.48776556 2.87572415]
[2.43828857 2.83238134]
[2.38980413 2.79332437]
[2.34281528 2.75671514]
[2.29773762 2.72042963]
[2.25611163 2.67477484]
[2.21315003 2.64465845]
[2.17254407 2.61762918]
[2.13119474 2.59597337]
[2.09323808 2.56394185]
[2.05661389 2.5333629 ]
[2.02256833 2.49591057]
[1.98687737 2.47683123]
[1.9534667  2.45244293]
[1.92154791 2.42258691]
[1.89052066 2.40333614]
[1.86021074 2.38337689]
[1.83049459 2.36448862]
[1.80338205 2.33092289]
[1.77602367 2.30503087]
[1.74855907 2.28727414]
[1.72254638 2.26390017]
[1.69661889 2.25208136]
[1.67167808 2.234199  ]
[1.64897733 2.20457991]
[1.62542995 2.19054008]
[1.60254713 2.17376698]
[1.57986434 2.16482249]
[1.55827306 2.15092092]
[1.53722654 2.13492775]
[1.51732484 2.11398829]
