[0.27351656 0.72648344]
[0.30952713 0.69047287]
[0.33012181 0.66987819]
[0.3424065 0.6575935]
[0.35162844 0.64837156]
[0.3617167 0.6382833]
[0.36632552 0.63367448]
[0.36173984 0.63826016]
[0.35422526 0.64577474]
[0.34684518 0.65315482]
[0.33968617 0.66031383]
[0.33998385 0.66001615]
[0.34229411 0.65770589]
[0.33792528 0.66207472]
[0.33551958 0.66448042]
[0.3331026 0.6668974]
[0.32835622 0.67164378]
[0.32299941 0.67700059]
[0.31820661 0.68179339]
[0.31654762 0.68345238]
[0.31429655 0.68570345]
[0.30649276 0.69350724]
[0.30446919 0.69553081]
[0.30196284 0.69803716]
[0.29454648 0.70545352]
[0.29090901 0.70909099]
[0.29260849 0.70739151]
[0.2913282 0.7086718]
[0.28907974 0.71092026]
[0.28581769 0.71418231]
[0.28288525 0.71711475]
[0.28023851 0.71976149]
[0.27776142 0.72223858]
[0.27325682 0.72674318]
[0.27138707 0.72861293]
[0.27059951 0.72940049]
[0.26885025 0.73114975]
[0.26747239 0.73252761]
[0.26424219 0.73575781]
[0.25844976 0.74155024]
[0.25597099 0.74402901]
[0.25393914 0.74606086]
[0.25014234 0.74985766]
[0.24433999 0.75566001]
[0.24239186 0.75760814]
[0.2397311 0.7602689]
[0.24127678 0.75872322]
[0.23841366 0.76158634]
[0.2379816 0.7620184]
[0.23653786 0.76346214]
[0.23421165 0.76578835]
