[0.28085288 0.71914712]
[0.32052389 0.67947611]
[0.34399492 0.65600508]
[0.34742345 0.65257655]
[0.35295036 0.64704964]
[0.35786909 0.64213091]
[0.35777576 0.64222424]
[0.35357139 0.64642861]
[0.34993725 0.65006275]
[0.35104071 0.64895929]
[0.348769 0.651231]
[0.35155865 0.64844135]
[0.35068972 0.64931028]
[0.34576309 0.65423691]
[0.33981113 0.66018887]
[0.33318126 0.66681874]
[0.32877915 0.67122085]
[0.3272228 0.6727772]
[0.32480196 0.67519804]
[0.32060389 0.67939611]
[0.3178175 0.6821825]
[0.31681612 0.68318388]
[0.31393314 0.68606686]
[0.30835605 0.69164395]
[0.30900982 0.69099018]
[0.30202714 0.69797286]
[0.2961262 0.7038738]
[0.29517932 0.70482068]
[0.29159035 0.70840965]
[0.28944761 0.71055239]
[0.28642003 0.71357997]
[0.28005891 0.71994109]
[0.28108478 0.71891522]
[0.27687021 0.72312979]
[0.27475353 0.72524647]
[0.27088189 0.72911811]
[0.26939123 0.73060877]
[0.26606061 0.73393939]
[0.26156497 0.73843503]
[0.26160566 0.73839434]
[0.25996931 0.74003069]
[0.25882989 0.74117011]
[0.25459285 0.74540715]
[0.25147911 0.74852089]
[0.24950587 0.75049413]
[0.24632468 0.75367532]
[0.24329381 0.75670619]
[0.2429282 0.7570718]
[0.24114267 0.75885733]
[0.23582676 0.76417324]
[0.23416591 0.76583409]
