[4.00354061 4.49878269]
[3.91690867 4.32034682]
[3.81682586 4.18664716]
[3.72030367 4.06068645]
[3.62374294 3.95356219]
[3.52806888 3.86112088]
[3.43985943 3.76049069]
[3.35137044 3.67483671]
[3.26575037 3.59830713]
[3.18541033 3.51965974]
[3.11017221 3.44059875]
[3.03585522 3.37017609]
[2.96297805 3.30947596]
[2.89336457 3.25386939]
[2.82935981 3.18485437]
[2.76542473 3.13076731]
[2.70801747 3.06520166]
[2.64787887 3.01909141]
[2.59255287 2.96742656]
[2.53811812 2.92389416]
[2.48598051 2.88286523]
[2.43590396 2.84041734]
[2.38688152 2.80351055]
[2.33990259 2.76700587]
[2.29566064 2.72500844]
[2.25318683 2.68754949]
[2.21012113 2.66727787]
[2.17097492 2.62534838]
[2.13183454 2.59726754]
[2.09301606 2.56881354]
[2.05692627 2.53545759]
[2.02185259 2.50334706]
[1.98791576 2.47676078]
[1.95461143 2.45096273]
[1.92251135 2.42317533]
[1.89097183 2.40100981]
[1.86130185 2.37465333]
[1.83232004 2.35053224]
[1.80488102 2.32342598]
[1.7765591  2.30763501]
[1.75011867 2.28280021]
[1.72412186 2.2647057 ]
[1.6988507  2.24686886]
[1.67422105 2.23069362]
[1.65057082 2.20815438]
[1.62773845 2.18446105]
[1.60511165 2.17090919]
[1.58378305 2.14676546]
[1.56155877 2.13613557]
[1.54056695 2.11990343]
[1.52063947 2.10945109]
