[0.27536011 0.72463989]
[0.31268445 0.68731555]
[0.34037053 0.65962947]
[0.34848083 0.65151917]
[0.35209747 0.64790253]
[0.3567425 0.6432575]
[0.35737149 0.64262851]
[0.35551174 0.64448826]
[0.35275393 0.64724607]
[0.35312751 0.64687249]
[0.3528019 0.6471981]
[0.35134986 0.64865014]
[0.34261131 0.65738869]
[0.33783683 0.66216317]
[0.33234475 0.66765525]
[0.32837182 0.67162818]
[0.33015054 0.66984946]
[0.32552174 0.67447826]
[0.32358411 0.67641589]
[0.31996738 0.68003262]
[0.31423155 0.68576845]
[0.3089999 0.6910001]
[0.30562749 0.69437251]
[0.30127336 0.69872664]
[0.3043131 0.6956869]
[0.30137928 0.69862072]
[0.29764381 0.70235619]
[0.29662552 0.70337448]
[0.29101413 0.70898587]
[0.28510196 0.71489804]
[0.28255585 0.71744415]
[0.28155541 0.71844459]
[0.28136353 0.71863647]
[0.27781239 0.72218761]
[0.27527412 0.72472588]
[0.27513122 0.72486878]
[0.2703838 0.7296162]
[0.26684978 0.73315022]
[0.26367901 0.73632099]
[0.25998379 0.74001621]
[0.25726931 0.74273069]
[0.25672271 0.74327729]
[0.25297777 0.74702223]
[0.24902234 0.75097766]
[0.24516099 0.75483901]
[0.24351436 0.75648564]
[0.2406183 0.7593817]
[0.23929232 0.76070768]
[0.23831284 0.76168716]
[0.23606781 0.76393219]
[0.2338469 0.7661531]
