[0.28265693 0.71734307]
[0.32604928 0.67395072]
[0.33978586 0.66021414]
[0.35184494 0.64815506]
[0.34989637 0.65010363]
[0.35454156 0.64545844]
[0.35076515 0.64923485]
[0.34689056 0.65310944]
[0.35007563 0.64992437]
[0.35313522 0.64686478]
[0.34970078 0.65029922]
[0.34873087 0.65126913]
[0.34253772 0.65746228]
[0.34009591 0.65990409]
[0.34170374 0.65829626]
[0.33703781 0.66296219]
[0.33238217 0.66761783]
[0.3284066 0.6715934]
[0.32508625 0.67491375]
[0.31910663 0.68089337]
[0.31713047 0.68286953]
[0.31729012 0.68270988]
[0.31509395 0.68490605]
[0.31188936 0.68811064]
[0.31117194 0.68882806]
[0.31212081 0.68787919]
[0.30435183 0.69564817]
[0.29873793 0.70126207]
[0.29674859 0.70325141]
[0.29278308 0.70721692]
[0.28726278 0.71273722]
[0.28433999 0.71566001]
[0.28485471 0.71514529]
[0.27884329 0.72115671]
[0.27738208 0.72261792]
[0.27283314 0.72716686]
[0.27328841 0.72671159]
[0.26995104 0.73004896]
[0.26759638 0.73240362]
[0.26402979 0.73597021]
[0.25707224 0.74292776]
[0.2563116 0.7436884]
[0.25707694 0.74292306]
[0.25337475 0.74662525]
[0.25032905 0.74967095]
[0.24759122 0.75240878]
[0.24525571 0.75474429]
[0.23970868 0.76029132]
[0.24096523 0.75903477]
[0.23892423 0.76107577]
[0.23661139 0.76338861]
