[3.99495852 4.49787852]
[3.9089718  4.31788567]
[3.81032618 4.18237897]
[3.71296307 4.06140494]
[3.62221358 3.93784673]
[3.53104974 3.83119245]
[3.43737304 3.74813096]
[3.34914194 3.66620659]
[3.26487819 3.58791439]
[3.18785216 3.50183198]
[3.11152709 3.42687537]
[3.03609015 3.36011997]
[2.96238507 3.30249333]
[2.89526818 3.2373359 ]
[2.83085059 3.1733647 ]
[2.76676268 3.12290039]
[2.70706018 3.06754433]
[2.64819545 3.01889637]
[2.59237999 2.96970555]
[2.53693043 2.93098407]
[2.4852908 2.8860244]
[2.43289413 2.85273285]
[2.38620312 2.80263385]
[2.33863891 2.76778514]
[2.29523528 2.72490126]
[2.25018344 2.69795238]
[2.20876827 2.66082475]
[2.16841335 2.62552241]
[2.13027986 2.59092201]
[2.09250849 2.55571849]
[2.05633129 2.52315804]
[2.02098815 2.49484703]
[1.98790846 2.46523735]
[1.95407671 2.45249242]
[1.92148349 2.42862175]
[1.89011399 2.40974732]
[1.85920981 2.38889953]
[1.83044216 2.3629659 ]
[1.80290683 2.33395631]
[1.77573315 2.30786369]
[1.74996408 2.28893178]
[1.72398935 2.26956582]
[1.69922276 2.24908801]
[1.67378669 2.23511393]
[1.65027325 2.21951859]
[1.62765926 2.19849883]
[1.60494496 2.18127901]
[1.58246772 2.17097858]
[1.56066583 2.15350888]
[1.53963066 2.13935096]
[1.51979882 2.12178997]
