[3.99247894 4.49694217]
[3.90943211 4.31061662]
[3.81118472 4.17449439]
[3.71007159 4.05899604]
[3.61739917 3.9414658 ]
[3.52479498 3.84029245]
[3.43327299 3.75064453]
[3.34651344 3.66568762]
[3.26409514 3.58097193]
[3.18404416 3.50386811]
[3.10518816 3.43564501]
[3.02902031 3.37434071]
[2.95775198 3.31078001]
[2.88822795 3.25462556]
[2.82394733 3.19003019]
[2.76218382 3.13082996]
[2.70210839 3.07547129]
[2.64346976 3.02619455]
[2.58836655 2.97372925]
[2.53501634 2.92596714]
[2.48263004 2.88784363]
[2.43093196 2.85207906]
[2.38344645 2.80890974]
[2.33667658 2.77157036]
[2.2921547  2.73191365]
[2.24916592 2.6945022 ]
[2.20689888 2.6619442 ]
[2.16614167 2.62724562]
[2.12633033 2.60118559]
[2.0885818 2.5656984]
[2.05243835 2.5344595 ]
[2.01718555 2.50415989]
[1.98497442 2.46263833]
[1.95240029 2.43835949]
[1.91959912 2.41866978]
[1.88948608 2.39211713]
[1.85939759 2.37152582]
[1.83044803 2.34951674]
[1.80146983 2.33170445]
[1.77409851 2.30878092]
[1.74661318 2.29296188]
[1.72058892 2.27826254]
[1.69643845 2.25147918]
[1.67238268 2.23196139]
[1.64818538 2.21547432]
[1.62521233 2.19898936]
[1.60296523 2.17935402]
[1.58164474 2.16721258]
[1.56022633 2.15733627]
[1.53949033 2.13934405]
[1.51925691 2.12583109]
