[0.27979103 0.72020897]
[0.32282454 0.67717546]
[0.34129954 0.65870046]
[0.35664761 0.64335239]
[0.35468432 0.64531568]
[0.35640093 0.64359907]
[0.3538979 0.6461021]
[0.35641207 0.64358793]
[0.35642956 0.64357044]
[0.35586872 0.64413128]
[0.35450292 0.64549708]
[0.35646748 0.64353252]
[0.35293852 0.64706148]
[0.34568319 0.65431681]
[0.34197692 0.65802308]
[0.33787322 0.66212678]
[0.32987538 0.67012462]
[0.32826264 0.67173736]
[0.32517891 0.67482109]
[0.3233373 0.6766627]
[0.31946278 0.68053722]
[0.31531736 0.68468264]
[0.31030743 0.68969257]
[0.30585035 0.69414965]
[0.30163366 0.69836634]
[0.29846559 0.70153441]
[0.29536586 0.70463414]
[0.29313018 0.70686982]
[0.28886241 0.71113759]
[0.28714392 0.71285608]
[0.2833343 0.7166657]
[0.28253838 0.71746162]
[0.27555211 0.72444789]
[0.2736927 0.7263073]
[0.27165067 0.72834933]
[0.26667172 0.73332828]
[0.26099688 0.73900312]
[0.2574255 0.7425745]
[0.25687839 0.74312161]
[0.25467859 0.74532141]
[0.25595889 0.74404111]
[0.25643495 0.74356505]
[0.25466987 0.74533013]
[0.24811288 0.75188712]
[0.2476317 0.7523683]
[0.24591544 0.75408456]
[0.24377964 0.75622036]
[0.24361046 0.75638954]
[0.23923268 0.76076732]
[0.23628368 0.76371632]
[0.23516637 0.76483363]
