[0.28260676 0.71739324]
[0.32315591 0.67684409]
[0.34393342 0.65606658]
[0.35069687 0.64930313]
[0.35946926 0.64053074]
[0.35696977 0.64303023]
[0.35670739 0.64329261]
[0.35614943 0.64385057]
[0.3523634 0.6476366]
[0.35257088 0.64742912]
[0.35286894 0.64713106]
[0.34891913 0.65108087]
[0.34143372 0.65856628]
[0.33894345 0.66105655]
[0.33827314 0.66172686]
[0.33910578 0.66089422]
[0.32679304 0.67320696]
[0.32768064 0.67231936]
[0.32292303 0.67707697]
[0.31928225 0.68071775]
[0.31370546 0.68629454]
[0.30842826 0.69157174]
[0.30534667 0.69465333]
[0.30649027 0.69350973]
[0.3021833 0.6978167]
[0.29725441 0.70274559]
[0.30148939 0.69851061]
[0.30063996 0.69936004]
[0.29442447 0.70557553]
[0.2891773 0.7108227]
[0.28454124 0.71545876]
[0.28380222 0.71619778]
[0.28213378 0.71786622]
[0.28157619 0.71842381]
[0.27859816 0.72140184]
[0.27413679 0.72586321]
[0.276445 0.723555]
[0.27643382 0.72356618]
[0.27021239 0.72978761]
[0.26675571 0.73324429]
[0.26355721 0.73644279]
[0.262048 0.737952]
[0.25490948 0.74509052]
[0.25287427 0.74712573]
[0.25087706 0.74912294]
[0.25054769 0.74945231]
[0.24511491 0.75488509]
[0.24184331 0.75815669]
[0.23929333 0.76070667]
[0.23755972 0.76244028]
[0.23728758 0.76271242]
