[0.28080445 0.71919555]
[0.32442297 0.67557703]
[0.34361414 0.65638586]
[0.35468554 0.64531446]
[0.36311121 0.63688879]
[0.36375296 0.63624704]
[0.35848088 0.64151912]
[0.35910158 0.64089842]
[0.35815687 0.64184313]
[0.35375803 0.64624197]
[0.35673904 0.64326096]
[0.35035222 0.64964778]
[0.34476035 0.65523965]
[0.34456752 0.65543248]
[0.34308222 0.65691778]
[0.34025068 0.65974932]
[0.33425279 0.66574721]
[0.33278208 0.66721792]
[0.3274979 0.6725021]
[0.32132697 0.67867303]
[0.31783827 0.68216173]
[0.31413221 0.68586779]
[0.31607598 0.68392402]
[0.31419222 0.68580778]
[0.3125331 0.6874669]
[0.30492775 0.69507225]
[0.30045252 0.69954748]
[0.29649962 0.70350038]
[0.29356396 0.70643604]
[0.28644217 0.71355783]
[0.28758937 0.71241063]
[0.28307657 0.71692343]
[0.28139114 0.71860886]
[0.28065491 0.71934509]
[0.27784532 0.72215468]
[0.27354353 0.72645647]
[0.27107456 0.72892544]
[0.26981199 0.73018801]
[0.26441347 0.73558653]
[0.2612004 0.7387996]
[0.25369854 0.74630146]
[0.25048738 0.74951262]
[0.24568613 0.75431387]
[0.24351271 0.75648729]
[0.24378671 0.75621329]
[0.24004817 0.75995183]
[0.23964577 0.76035423]
[0.23823867 0.76176133]
[0.23854888 0.76145112]
[0.23580403 0.76419597]
[0.23342816 0.76657184]
