[0.28381108 0.71618892]
[0.31666422 0.68333578]
[0.33454042 0.66545958]
[0.3500255 0.6499745]
[0.35898793 0.64101207]
[0.3634405 0.6365595]
[0.3613285 0.6386715]
[0.3645637 0.6354363]
[0.36095608 0.63904392]
[0.35900717 0.64099283]
[0.35748752 0.64251248]
[0.35763837 0.64236163]
[0.35228334 0.64771666]
[0.34738493 0.65261507]
[0.34349561 0.65650439]
[0.33164354 0.66835646]
[0.3327053 0.6672947]
[0.32677461 0.67322539]
[0.32376531 0.67623469]
[0.32484898 0.67515102]
[0.31897239 0.68102761]
[0.31244003 0.68755997]
[0.31599006 0.68400994]
[0.31262993 0.68737007]
[0.31016134 0.68983866]
[0.30449777 0.69550223]
[0.29824343 0.70175657]
[0.29783327 0.70216673]
[0.29309425 0.70690575]
[0.28795821 0.71204179]
[0.2839753 0.7160247]
[0.28236438 0.71763562]
[0.27943103 0.72056897]
[0.27257201 0.72742799]
[0.27002077 0.72997923]
[0.26738207 0.73261793]
[0.26521002 0.73478998]
[0.26092968 0.73907032]
[0.25943683 0.74056317]
[0.25433702 0.74566298]
[0.25666899 0.74333101]
[0.25222595 0.74777405]
[0.25068571 0.74931429]
[0.24860936 0.75139064]
[0.24695429 0.75304571]
[0.24307798 0.75692202]
[0.2432694 0.7567306]
[0.24181246 0.75818754]
[0.23682416 0.76317584]
[0.23393044 0.76606956]
[0.23491453 0.76508547]
