[0.27878211 0.72121789]
[0.31166139 0.68833861]
[0.32974598 0.67025402]
[0.34357014 0.65642986]
[0.35345006 0.64654994]
[0.35553999 0.64446001]
[0.35021344 0.64978656]
[0.34952884 0.65047116]
[0.35089646 0.64910354]
[0.35216568 0.64783432]
[0.34864666 0.65135334]
[0.34326427 0.65673573]
[0.340901 0.659099]
[0.3374962 0.6625038]
[0.33282106 0.66717894]
[0.33024018 0.66975982]
[0.32141033 0.67858967]
[0.32373833 0.67626167]
[0.32425792 0.67574208]
[0.31715814 0.68284186]
[0.31608858 0.68391142]
[0.30931038 0.69068962]
[0.30637021 0.69362979]
[0.30858258 0.69141742]
[0.30428268 0.69571732]
[0.30247463 0.69752537]
[0.29834674 0.70165326]
[0.29286808 0.70713192]
[0.2922847 0.7077153]
[0.28730158 0.71269842]
[0.28067865 0.71932135]
[0.27748486 0.72251514]
[0.275401 0.724599]
[0.27100466 0.72899534]
[0.27001295 0.72998705]
[0.26923708 0.73076292]
[0.26608959 0.73391041]
[0.26270414 0.73729586]
[0.25933385 0.74066615]
[0.2555405 0.7444595]
[0.25321665 0.74678335]
[0.24815891 0.75184109]
[0.24682426 0.75317574]
[0.24554538 0.75445462]
[0.24268377 0.75731623]
[0.24101442 0.75898558]
[0.24359688 0.75640312]
[0.23881699 0.76118301]
[0.23574884 0.76425116]
[0.23405696 0.76594304]
[0.23214635 0.76785365]
