[0.28366285 0.71633715]
[0.32823206 0.67176794]
[0.35032645 0.64967355]
[0.35597489 0.64402511]
[0.36134768 0.63865232]
[0.36167504 0.63832496]
[0.35735655 0.64264345]
[0.35388754 0.64611246]
[0.35395128 0.64604872]
[0.351421 0.648579]
[0.34565692 0.65434308]
[0.33883485 0.66116515]
[0.34452656 0.65547344]
[0.33492664 0.66507336]
[0.33199552 0.66800448]
[0.33223795 0.66776205]
[0.3303597 0.6696403]
[0.3265736 0.6734264]
[0.3202317 0.6797683]
[0.31548771 0.68451229]
[0.30880571 0.69119429]
[0.31230434 0.68769566]
[0.30887317 0.69112683]
[0.30518965 0.69481035]
[0.30103687 0.69896313]
[0.29772289 0.70227711]
[0.29599882 0.70400118]
[0.29730016 0.70269984]
[0.29408914 0.70591086]
[0.29316696 0.70683304]
[0.28915561 0.71084439]
[0.28311929 0.71688071]
[0.28211865 0.71788135]
[0.27860443 0.72139557]
[0.27329544 0.72670456]
[0.26987743 0.73012257]
[0.26496976 0.73503024]
[0.2620553 0.7379447]
[0.26171603 0.73828397]
[0.2599249 0.7400751]
[0.25987774 0.74012226]
[0.25821708 0.74178292]
[0.25652305 0.74347695]
[0.25492086 0.74507914]
[0.25105676 0.74894324]
[0.24624513 0.75375487]
[0.24352463 0.75647537]
[0.24532962 0.75467038]
[0.2456327 0.7543673]
[0.24032818 0.75967182]
[0.23664031 0.76335969]
