[4.0021551 4.4924788]
[3.91142469 4.32276327]
[3.81539012 4.18016796]
[3.71990579 4.0540925 ]
[3.6251182  3.94218625]
[3.53367192 3.83583191]
[3.44390525 3.74209276]
[3.35607291 3.66061832]
[3.27260102 3.57943818]
[3.19282782 3.49937363]
[3.11382495 3.43392863]
[3.03750749 3.37398637]
[2.96801843 3.30306821]
[2.89749849 3.24734758]
[2.83158945 3.18812204]
[2.7679775 3.1336039]
[2.70693174 3.08165926]
[2.64791465 3.03434062]
[2.59064433 2.99021512]
[2.53506848 2.94844723]
[2.48274313 2.90005304]
[2.43328967 2.84930887]
[2.38363456 2.81313132]
[2.33758271 2.76859737]
[2.29200269 2.73300905]
[2.24938401 2.69296258]
[2.20726603 2.65746382]
[2.16579319 2.63297713]
[2.12736136 2.59652154]
[2.09008033 2.5671023 ]
[2.05630108 2.52192632]
[2.02100338 2.50013835]
[1.98650501 2.47517751]
[1.95291883 2.4538968 ]
[1.92085771 2.43021938]
[1.88930542 2.40519117]
[1.85868476 2.38670955]
[1.82920175 2.3635805 ]
[1.80107352 2.33703451]
[1.77324422 2.32060261]
[1.74710212 2.29730181]
[1.72111536 2.27552692]
[1.6966195  2.25330435]
[1.67234725 2.22993853]
[1.6481181  2.21756274]
[1.62531425 2.19985963]
[1.60224693 2.1896087 ]
[1.58063806 2.16608459]
[1.55884542 2.15265058]
[1.53833476 2.13744147]
[1.51830346 2.11573891]
