[0.278005 0.721995]
[0.32155475 0.67844525]
[0.33651084 0.66348916]
[0.34879554 0.65120446]
[0.35246031 0.64753969]
[0.35287172 0.64712828]
[0.35759167 0.64240833]
[0.36007024 0.63992976]
[0.35461239 0.64538761]
[0.35043395 0.64956605]
[0.3462222 0.6537778]
[0.34701768 0.65298232]
[0.34346179 0.65653821]
[0.33899627 0.66100373]
[0.33459332 0.66540668]
[0.33200379 0.66799621]
[0.33053514 0.66946486]
[0.32821776 0.67178224]
[0.32591049 0.67408951]
[0.31879166 0.68120834]
[0.31449207 0.68550793]
[0.31102775 0.68897225]
[0.30833712 0.69166288]
[0.30964394 0.69035606]
[0.29992986 0.70007014]
[0.30182039 0.69817961]
[0.29761359 0.70238641]
[0.29398564 0.70601436]
[0.29137903 0.70862097]
[0.28790676 0.71209324]
[0.28535549 0.71464451]
[0.27998277 0.72001723]
[0.28013953 0.71986047]
[0.27427795 0.72572205]
[0.27273961 0.72726039]
[0.270508 0.729492]
[0.26990412 0.73009588]
[0.26423406 0.73576594]
[0.25974892 0.74025108]
[0.26010245 0.73989755]
[0.2572046 0.7427954]
[0.2552106 0.7447894]
[0.25261661 0.74738339]
[0.24772078 0.75227922]
[0.24841215 0.75158785]
[0.24410006 0.75589994]
[0.24029244 0.75970756]
[0.23845269 0.76154731]
[0.23809888 0.76190112]
[0.23473438 0.76526562]
[0.23349382 0.76650618]
