[0.27910755 0.72089245]
[0.31435385 0.68564615]
[0.33224193 0.66775807]
[0.34175523 0.65824477]
[0.34941686 0.65058314]
[0.35159323 0.64840677]
[0.35528479 0.64471521]
[0.35439581 0.64560419]
[0.35213158 0.64786842]
[0.35901442 0.64098558]
[0.34909325 0.65090675]
[0.34625996 0.65374004]
[0.34112371 0.65887629]
[0.33687743 0.66312257]
[0.33426752 0.66573248]
[0.33299523 0.66700477]
[0.32969041 0.67030959]
[0.32704544 0.67295456]
[0.32425902 0.67574098]
[0.31906216 0.68093784]
[0.31702053 0.68297947]
[0.31363696 0.68636304]
[0.31037677 0.68962323]
[0.30736158 0.69263842]
[0.30491262 0.69508738]
[0.30191179 0.69808821]
[0.29780165 0.70219835]
[0.29560051 0.70439949]
[0.29181785 0.70818215]
[0.28735162 0.71264838]
[0.28386045 0.71613955]
[0.27868578 0.72131422]
[0.27924887 0.72075113]
[0.27513037 0.72486963]
[0.27247681 0.72752319]
[0.26829751 0.73170249]
[0.26961721 0.73038279]
[0.26769282 0.73230718]
[0.26993238 0.73006762]
[0.26661278 0.73338722]
[0.26035305 0.73964695]
[0.25550467 0.74449533]
[0.25440542 0.74559458]
[0.25078799 0.74921201]
[0.25133597 0.74866403]
[0.24708659 0.75291341]
[0.24409906 0.75590094]
[0.23979145 0.76020855]
[0.23729136 0.76270864]
[0.2363729 0.7636271]
[0.2331328 0.7668672]
