[3.99582468 4.49499425]
[3.90255981 4.33088452]
[3.80843999 4.18428876]
[3.7068779  4.07169289]
[3.61486169 3.95166582]
[3.52500355 3.84257862]
[3.43314061 3.75475497]
[3.34608484 3.66668914]
[3.26085947 3.59058921]
[3.18321243 3.50527957]
[3.10512233 3.43802195]
[3.02911321 3.37664905]
[2.95953098 3.30849704]
[2.89237413 3.240518  ]
[2.82963609 3.17161785]
[2.7674437  3.11212623]
[2.70585008 3.06440903]
[2.64699215 3.01372604]
[2.5897907  2.97031106]
[2.53488415 2.92601584]
[2.48361284 2.87783727]
[2.43323653 2.83759133]
[2.38580421 2.79346271]
[2.33916325 2.75743868]
[2.29494167 2.71644275]
[2.25254512 2.67832812]
[2.21036617 2.64984241]
[2.16875684 2.62177343]
[2.13093218 2.58225427]
[2.09370648 2.54778121]
[2.05712313 2.51490927]
[2.02237588 2.48090981]
[1.98782674 2.45712211]
[1.95448144 2.4368737 ]
[1.9225509  2.41161466]
[1.89131359 2.39067995]
[1.86121983 2.36919008]
[1.83195966 2.34929949]
[1.8039994 2.3314619]
[1.77655318 2.30980841]
[1.74947698 2.29387262]
[1.72314269 2.27614006]
[1.69799144 2.25748011]
[1.67411579 2.24294956]
[1.64941466 2.22729517]
[1.62624517 2.21099365]
[1.60434861 2.19383199]
[1.58274738 2.17044351]
[1.56132389 2.15325919]
[1.54066483 2.13278458]
[1.51989012 2.12667686]
