[0.27773909 0.72226091]
[0.32414719 0.67585281]
[0.34094741 0.65905259]
[0.34565626 0.65434374]
[0.35571621 0.64428379]
[0.35874394 0.64125606]
[0.35744565 0.64255435]
[0.35608153 0.64391847]
[0.35718467 0.64281533]
[0.35552711 0.64447289]
[0.35052328 0.64947672]
[0.34337134 0.65662866]
[0.34007081 0.65992919]
[0.33422602 0.66577398]
[0.33410248 0.66589752]
[0.33255628 0.66744372]
[0.33045726 0.66954274]
[0.32614899 0.67385101]
[0.32473011 0.67526989]
[0.32179064 0.67820936]
[0.31549815 0.68450185]
[0.30841613 0.69158387]
[0.30631271 0.69368729]
[0.30229314 0.69770686]
[0.30015786 0.69984214]
[0.2977488 0.7022512]
[0.29341929 0.70658071]
[0.29058134 0.70941866]
[0.2848376 0.7151624]
[0.28348124 0.71651876]
[0.28168008 0.71831992]
[0.27934624 0.72065376]
[0.28297346 0.71702654]
[0.27978483 0.72021517]
[0.27441845 0.72558155]
[0.27315909 0.72684091]
[0.26934448 0.73065552]
[0.26643447 0.73356553]
[0.26207925 0.73792075]
[0.26047334 0.73952666]
[0.25587743 0.74412257]
[0.25156906 0.74843094]
[0.25268909 0.74731091]
[0.25087815 0.74912185]
[0.24777254 0.75222746]
[0.24537477 0.75462523]
[0.24423825 0.75576175]
[0.24071114 0.75928886]
[0.23637813 0.76362187]
[0.23541638 0.76458362]
[0.23295876 0.76704124]
