[4.00023964 4.49920629]
[3.91143134 4.32389775]
[3.81605401 4.18138354]
[3.72188884 4.04989906]
[3.62399291 3.945555  ]
[3.53313074 3.83974498]
[3.44230732 3.74907936]
[3.35184049 3.67175858]
[3.26869591 3.58665206]
[3.18540985 3.51820281]
[3.10776802 3.44492083]
[3.03526446 3.37012261]
[2.9656236  3.30022212]
[2.89602674 3.23931037]
[2.83127002 3.17706935]
[2.76774453 3.12168098]
[2.70763769 3.06578203]
[2.65056028 3.0090634 ]
[2.59434015 2.95895999]
[2.53968908 2.91681012]
[2.48690226 2.87111321]
[2.43833017 2.82477258]
[2.38983596 2.78385352]
[2.34318701 2.74784881]
[2.29733741 2.71443417]
[2.25272876 2.6879346 ]
[2.21090303 2.65668603]
[2.17126121 2.61822191]
[2.13206391 2.58837984]
[2.0954329  2.55144969]
[2.05923764 2.52573034]
[2.02385059 2.49755999]
[1.98956868 2.47166318]
[1.95663345 2.44304813]
[1.92421552 2.42107144]
[1.89359412 2.39414861]
[1.86317813 2.37474247]
[1.8337712  2.36234393]
[1.80443183 2.34446266]
[1.7756013 2.3294523]
[1.7503499  2.29886964]
[1.72487975 2.27755908]
[1.7000888 2.2502963]
[1.67582056 2.2263684 ]
[1.65132673 2.21959382]
[1.62806127 2.19888689]
[1.60594754 2.18022328]
[1.58473233 2.16314832]
[1.56242891 2.15553258]
[1.54172327 2.13703595]
[1.52143033 2.12031998]
