[4.00353734 4.50554974]
[3.91323314 4.33362133]
[3.8129155  4.20203404]
[3.71690109 4.07623749]
[3.62132678 3.96226423]
[3.52934969 3.85715199]
[3.44022369 3.76074403]
[3.35546629 3.66590542]
[3.27172463 3.58593835]
[3.19005472 3.51024716]
[3.1131203 3.4374501]
[3.03898583 3.36866874]
[2.96266159 3.32404147]
[2.89719694 3.25037427]
[2.83011909 3.19456533]
[2.76923458 3.13100528]
[2.70621349 3.08773704]
[2.64809889 3.03483838]
[2.59132456 2.98944718]
[2.53629343 2.94648125]
[2.48371857 2.90432878]
[2.4349405  2.85437259]
[2.38536394 2.81698689]
[2.33772366 2.78256301]
[2.29283554 2.74159679]
[2.2494537  2.70442448]
[2.20681957 2.67006645]
[2.16596835 2.63988197]
[2.12609017 2.61171289]
[2.088394   2.57804928]
[2.05194791 2.54484257]
[2.01761771 2.50976212]
[1.98406249 2.47800036]
[1.95223406 2.441656  ]
[1.92042634 2.41455949]
[1.88960575 2.3910599 ]
[1.85923701 2.37309625]
[1.83007193 2.35261326]
[1.80230239 2.3239339 ]
[1.77534727 2.30011581]
[1.74843534 2.28749187]
[1.72200936 2.27250502]
[1.69710124 2.25296311]
[1.67288385 2.23250879]
[1.64949138 2.21374042]
[1.62621015 2.19773687]
[1.60404143 2.17795651]
[1.58264859 2.16213355]
[1.56157337 2.14826249]
[1.54126333 2.13802107]
[1.52154664 2.11308755]
