[0.27811101 0.72188899]
[0.32359991 0.67640009]
[0.34416896 0.65583104]
[0.35154514 0.64845486]
[0.35195144 0.64804856]
[0.34822655 0.65177345]
[0.35641683 0.64358317]
[0.36063871 0.63936129]
[0.35676376 0.64323624]
[0.35356096 0.64643904]
[0.34737603 0.65262397]
[0.34674972 0.65325028]
[0.34169685 0.65830315]
[0.33913946 0.66086054]
[0.33608384 0.66391616]
[0.3323411 0.6676589]
[0.32861975 0.67138025]
[0.3266084 0.6733916]
[0.32425219 0.67574781]
[0.31814033 0.68185967]
[0.31498809 0.68501191]
[0.31165393 0.68834607]
[0.30850479 0.69149521]
[0.30533069 0.69466931]
[0.30270124 0.69729876]
[0.3000544 0.6999456]
[0.29364115 0.70635885]
[0.29084036 0.70915964]
[0.2875602 0.7124398]
[0.28828822 0.71171178]
[0.28393045 0.71606955]
[0.28438848 0.71561152]
[0.28277676 0.71722324]
[0.28290101 0.71709899]
[0.27678997 0.72321003]
[0.27434182 0.72565818]
[0.27302116 0.72697884]
[0.26678333 0.73321667]
[0.26228551 0.73771449]
[0.25793529 0.74206471]
[0.25485776 0.74514224]
[0.2545488 0.7454512]
[0.25080512 0.74919488]
[0.24829749 0.75170251]
[0.24717535 0.75282465]
[0.24612981 0.75387019]
[0.24476602 0.75523398]
[0.24355577 0.75644423]
[0.2403332 0.7596668]
[0.23869307 0.76130693]
[0.23652637 0.76347363]
