[0.27466462 0.72533538]
[0.31739166 0.68260834]
[0.32980864 0.67019136]
[0.34422199 0.65577801]
[0.35378657 0.64621343]
[0.35522576 0.64477424]
[0.35832066 0.64167934]
[0.35733599 0.64266401]
[0.35563955 0.64436045]
[0.35532216 0.64467784]
[0.34948041 0.65051959]
[0.34686033 0.65313967]
[0.33908233 0.66091767]
[0.33339916 0.66660084]
[0.33123504 0.66876496]
[0.32733864 0.67266136]
[0.32167091 0.67832909]
[0.3209872 0.6790128]
[0.31676845 0.68323155]
[0.31417416 0.68582584]
[0.31200807 0.68799193]
[0.30955422 0.69044578]
[0.30716214 0.69283786]
[0.3041505 0.6958495]
[0.30289967 0.69710033]
[0.29867787 0.70132213]
[0.29437259 0.70562741]
[0.28993364 0.71006636]
[0.28620111 0.71379889]
[0.28410914 0.71589086]
[0.28159635 0.71840365]
[0.27828072 0.72171928]
[0.27839919 0.72160081]
[0.27939707 0.72060293]
[0.2745825 0.7254175]
[0.2738507 0.7261493]
[0.27502083 0.72497917]
[0.26843462 0.73156538]
[0.26384992 0.73615008]
[0.25983364 0.74016636]
[0.25726219 0.74273781]
[0.25506799 0.74493201]
[0.2528865 0.7471135]
[0.25148618 0.74851382]
[0.25030374 0.74969626]
[0.24655888 0.75344112]
[0.24576587 0.75423413]
[0.24317837 0.75682163]
[0.2389805 0.7610195]
[0.23617389 0.76382611]
[0.2341753 0.7658247]
