[3.99779067 4.49365614]
[3.9038866  4.33055851]
[3.80912163 4.18584687]
[3.71286291 4.05918186]
[3.62138533 3.93754326]
[3.52640622 3.84010733]
[3.43465611 3.75115195]
[3.35044532 3.65890723]
[3.26425526 3.58451462]
[3.18099767 3.51787678]
[3.10635987 3.43622944]
[3.03451547 3.36021541]
[2.96341239 3.29469698]
[2.89499474 3.23284792]
[2.83042121 3.17068727]
[2.76676138 3.11521598]
[2.70405578 3.07248098]
[2.64655352 3.01870681]
[2.59035024 2.96942804]
[2.5353391 2.9280694]
[2.48400231 2.87982983]
[2.43317088 2.84086718]
[2.38310989 2.80816851]
[2.33725123 2.76888521]
[2.29274749 2.731535  ]
[2.24937375 2.69649841]
[2.20772603 2.66016999]
[2.16887794 2.61777725]
[2.12952526 2.59103515]
[2.09292239 2.55540472]
[2.05743943 2.51947866]
[2.02198575 2.49260067]
[1.98760028 2.4649147 ]
[1.95368804 2.44588253]
[1.92133026 2.42180625]
[1.89212843 2.38609737]
[1.86215387 2.36697581]
[1.83245885 2.35092498]
[1.80430753 2.32591172]
[1.77582888 2.30981819]
[1.750303   2.28364191]
[1.72460006 2.26613326]
[1.69902078 2.25764211]
[1.67405161 2.2448336 ]
[1.65074293 2.22583386]
[1.62771169 2.20761233]
[1.60581129 2.18437741]
[1.58371373 2.17144984]
[1.56220631 2.15336989]
[1.54175881 2.13710915]
[1.52139866 2.12424583]
