[0.28219813 0.71780187]
[0.31369522 0.68630478]
[0.34014963 0.65985037]
[0.34977314 0.65022686]
[0.3558706 0.6441294]
[0.35654147 0.64345853]
[0.35214048 0.64785952]
[0.352465 0.647535]
[0.35026382 0.64973618]
[0.34807895 0.65192105]
[0.34468843 0.65531157]
[0.34313583 0.65686417]
[0.3352289 0.6647711]
[0.33758905 0.66241095]
[0.33189701 0.66810299]
[0.32650597 0.67349403]
[0.32197531 0.67802469]
[0.3197507 0.6802493]
[0.3168862 0.6831138]
[0.31195438 0.68804562]
[0.30785967 0.69214033]
[0.30406187 0.69593813]
[0.30192944 0.69807056]
[0.30034765 0.69965235]
[0.29926953 0.70073047]
[0.29733733 0.70266267]
[0.29409814 0.70590186]
[0.28832622 0.71167378]
[0.28411772 0.71588228]
[0.28395293 0.71604707]
[0.28421384 0.71578616]
[0.27756786 0.72243214]
[0.2807243 0.7192757]
[0.27723881 0.72276119]
[0.27521276 0.72478724]
[0.27303008 0.72696992]
[0.2718072 0.7281928]
[0.26666931 0.73333069]
[0.26321538 0.73678462]
[0.26150977 0.73849023]
[0.2582893 0.7417107]
[0.25374731 0.74625269]
[0.25142909 0.74857091]
[0.25081262 0.74918738]
[0.24812725 0.75187275]
[0.240895 0.759105]
[0.24275632 0.75724368]
[0.24319256 0.75680744]
[0.24000759 0.75999241]
[0.2360636 0.7639364]
[0.23726897 0.76273103]
