[4.00001527 4.51000312]
[3.91420008 4.32731454]
[3.81788234 4.18478045]
[3.71820881 4.06758462]
[3.62539159 3.94960524]
[3.53372727 3.84540345]
[3.44109527 3.7557208 ]
[3.35331247 3.6701316 ]
[3.26866187 3.5894535 ]
[3.18907142 3.5135334 ]
[3.11158975 3.43984034]
[3.03893825 3.36662249]
[2.96560336 3.30608884]
[2.89575836 3.24730822]
[2.82746624 3.19731807]
[2.765014   3.13775422]
[2.70454344 3.08389084]
[2.64617017 3.0328375 ]
[2.58788269 2.99239244]
[2.53277779 2.95292642]
[2.4821114  2.90003119]
[2.43259107 2.85468856]
[2.38382565 2.81604733]
[2.33715266 2.77823016]
[2.29284263 2.73737862]
[2.25006755 2.70229087]
[2.20810821 2.66865878]
[2.16723713 2.63879955]
[2.12837927 2.60411379]
[2.0921079  2.56652093]
[2.05600154 2.53440666]
[2.01937187 2.51259095]
[1.98588171 2.47950229]
[1.9524428  2.45463544]
[1.92158655 2.42220718]
[1.89018633 2.39977279]
[1.86029495 2.37406704]
[1.83130828 2.34880795]
[1.80370747 2.32522068]
[1.77646719 2.29840904]
[1.7493841  2.28758322]
[1.72387077 2.27034913]
[1.69886973 2.24901622]
[1.67420906 2.23099733]
[1.65003247 2.21925329]
[1.62747293 2.20146857]
[1.60487304 2.18709468]
[1.58282628 2.17041165]
[1.56153704 2.15315189]
[1.54046679 2.13999984]
[1.52020015 2.13125057]
