[3.99366404 4.50114311]
[3.90788526 4.32079697]
[3.81368449 4.17627766]
[3.7153371  4.05550312]
[3.62225621 3.93884243]
[3.52874816 3.83815427]
[3.43674542 3.75123582]
[3.34714949 3.67283009]
[3.26042918 3.59963813]
[3.1827277  3.51553898]
[3.10607458 3.44103355]
[3.03248013 3.36947382]
[2.96487059 3.29159073]
[2.89409376 3.24083943]
[2.82848642 3.18247043]
[2.76349233 3.13352539]
[2.7051408  3.07199711]
[2.64549391 3.02493314]
[2.58920163 2.97695888]
[2.53425471 2.93503005]
[2.48318008 2.88193656]
[2.43344827 2.83583756]
[2.38475057 2.79384069]
[2.33657784 2.76373813]
[2.29182636 2.72654825]
[2.24879031 2.69421692]
[2.20649617 2.6612125 ]
[2.16660677 2.6251233 ]
[2.12787686 2.59603488]
[2.09136506 2.56252397]
[2.05506603 2.52841618]
[2.01995903 2.49946359]
[1.98472104 2.47834433]
[1.9515611  2.44692773]
[1.91893248 2.42419285]
[1.88759857 2.40223949]
[1.85775511 2.37824832]
[1.82960929 2.35071224]
[1.80245709 2.3211432 ]
[1.77447048 2.30226447]
[1.74791222 2.28143633]
[1.72237368 2.25884837]
[1.69615555 2.24381986]
[1.67185068 2.2286127 ]
[1.64729084 2.22084716]
[1.62430019 2.20416924]
[1.60220483 2.18592033]
[1.58026305 2.17561335]
[1.55936291 2.15483823]
[1.53901771 2.14266947]
[1.51918424 2.12594876]
