[0.28270474 0.71729526]
[0.3145919 0.6854081]
[0.3355211 0.6644789]
[0.34471933 0.65528067]
[0.36065905 0.63934095]
[0.35743403 0.64256597]
[0.35747196 0.64252804]
[0.35540384 0.64459616]
[0.35105009 0.64894991]
[0.35442584 0.64557416]
[0.34908637 0.65091363]
[0.34568482 0.65431518]
[0.33988112 0.66011888]
[0.34191472 0.65808528]
[0.33632338 0.66367662]
[0.32814042 0.67185958]
[0.32843033 0.67156967]
[0.32923002 0.67076998]
[0.32438589 0.67561411]
[0.32207053 0.67792947]
[0.31769912 0.68230088]
[0.31417578 0.68582422]
[0.30967801 0.69032199]
[0.30613134 0.69386866]
[0.30363434 0.69636566]
[0.29832763 0.70167237]
[0.29670484 0.70329516]
[0.29288155 0.70711845]
[0.28975997 0.71024003]
[0.2824027 0.7175973]
[0.28071241 0.71928759]
[0.27852325 0.72147675]
[0.27409269 0.72590731]
[0.27071566 0.72928434]
[0.2681799 0.7318201]
[0.26382853 0.73617147]
[0.26091088 0.73908912]
[0.26212846 0.73787154]
[0.26135423 0.73864577]
[0.258665 0.741335]
[0.25778084 0.74221916]
[0.25536343 0.74463657]
[0.2507799 0.7492201]
[0.24949873 0.75050127]
[0.2460377 0.7539623]
[0.24519967 0.75480033]
[0.24071751 0.75928249]
[0.2382938 0.7617062]
[0.2355358 0.7644642]
[0.23099429 0.76900571]
[0.23265552 0.76734448]
