[0.28123025 0.71876975]
[0.31560807 0.68439193]
[0.32891778 0.67108222]
[0.33879595 0.66120405]
[0.35059145 0.64940855]
[0.34893935 0.65106065]
[0.35801637 0.64198363]
[0.35497052 0.64502948]
[0.35155528 0.64844472]
[0.34848756 0.65151244]
[0.34562617 0.65437383]
[0.34386061 0.65613939]
[0.34070096 0.65929904]
[0.33204082 0.66795918]
[0.3312812 0.6687188]
[0.32742076 0.67257924]
[0.32626236 0.67373764]
[0.32331248 0.67668752]
[0.32453114 0.67546886]
[0.32130979 0.67869021]
[0.32162241 0.67837759]
[0.31865537 0.68134463]
[0.30906207 0.69093793]
[0.30318038 0.69681962]
[0.30379324 0.69620676]
[0.3010363 0.6989637]
[0.29650484 0.70349516]
[0.29173797 0.70826203]
[0.29236306 0.70763694]
[0.29343048 0.70656952]
[0.28975132 0.71024868]
[0.28086943 0.71913057]
[0.27793255 0.72206745]
[0.27937661 0.72062339]
[0.27427218 0.72572782]
[0.27231477 0.72768523]
[0.26824092 0.73175908]
[0.26800369 0.73199631]
[0.26764173 0.73235827]
[0.26107815 0.73892185]
[0.26015122 0.73984878]
[0.25441926 0.74558074]
[0.24955513 0.75044487]
[0.24863567 0.75136433]
[0.24574273 0.75425727]
[0.2451205 0.7548795]
[0.24175178 0.75824822]
[0.23853547 0.76146453]
[0.23714627 0.76285373]
[0.23567371 0.76432629]
[0.23241307 0.76758693]
