[3.99261367 4.50227058]
[3.90363381 4.32737796]
[3.80758257 4.18657058]
[3.71093847 4.06248399]
[3.61437836 3.95463041]
[3.52294714 3.84848088]
[3.4349695  3.74907756]
[3.34853453 3.66163053]
[3.26323354 3.58519053]
[3.18888577 3.49125926]
[3.109717  3.4272477]
[3.03723938 3.35474878]
[2.96496807 3.29288361]
[2.89607251 3.23156146]
[2.8308909  3.17188603]
[2.76530036 3.12430782]
[2.70454444 3.07175084]
[2.64854222 3.01316216]
[2.59157268 2.97082775]
[2.53495703 2.93312028]
[2.48279041 2.88798075]
[2.43266833 2.84337832]
[2.38536274 2.79707732]
[2.33872388 2.75716026]
[2.2943473  2.71744887]
[2.25083567 2.68446297]
[2.20841331 2.65772459]
[2.16861199 2.62053593]
[2.12996081 2.58821685]
[2.09098837 2.56107437]
[2.05385837 2.53584902]
[2.0196051  2.50094911]
[1.98563764 2.47169952]
[1.95245126 2.44687077]
[1.92032448 2.42583137]
[1.88969695 2.40506733]
[1.85861656 2.38760387]
[1.8297037  2.36237942]
[1.80113847 2.34085038]
[1.7756204  2.30299271]
[1.74958774 2.27756692]
[1.72390423 2.26195352]
[1.69926757 2.24486144]
[1.6749557  2.22025585]
[1.6517951  2.20818524]
[1.62880499 2.18592906]
[1.6069646 2.1626308]
[1.58462221 2.15200273]
[1.56340156 2.13665371]
[1.54221948 2.12782566]
[1.52134136 2.11828784]
