[3.98925802 4.50220022]
[3.89984306 4.33029779]
[3.80708312 4.18061041]
[3.70984544 4.05858991]
[3.61452062 3.94826605]
[3.52044265 3.85044287]
[3.4283673  3.76369869]
[3.34023096 3.68056677]
[3.26052952 3.58996117]
[3.18233074 3.5071092 ]
[3.10451742 3.43625996]
[3.03002032 3.36842081]
[2.96157791 3.29381071]
[2.89233541 3.2354598 ]
[2.82491274 3.18536467]
[2.76281788 3.12550966]
[2.7042259  3.06562343]
[2.64581873 3.01782289]
[2.59094045 2.96615103]
[2.53589709 2.92319286]
[2.4847095  2.87715894]
[2.43642517 2.82487138]
[2.38838739 2.78613444]
[2.34145311 2.74874109]
[2.2967534  2.71179809]
[2.2523556  2.68300764]
[2.21061939 2.64608484]
[2.16928591 2.62038452]
[2.13057987 2.58958586]
[2.09194085 2.56367965]
[2.05620722 2.52731173]
[2.02127935 2.49720532]
[1.98722029 2.46774848]
[1.95332914 2.44552611]
[1.92104695 2.42083271]
[1.88908403 2.40180353]
[1.86012745 2.36717071]
[1.83154825 2.3396664 ]
[1.80297821 2.31985136]
[1.77521483 2.30317609]
[1.74838046 2.28646212]
[1.72232867 2.26666018]
[1.69823633 2.24086227]
[1.67294922 2.22811469]
[1.64956046 2.21233962]
[1.62707698 2.18836743]
[1.6045543  2.17853407]
[1.58241245 2.16490381]
[1.55974806 2.15538901]
[1.53930938 2.13824094]
[1.51883587 2.12718099]
