[0.28124838 0.71875162]
[0.31441027 0.68558973]
[0.33419044 0.66580956]
[0.3415207 0.6584793]
[0.34841158 0.65158842]
[0.3468911 0.6531089]
[0.35303344 0.64696656]
[0.35768012 0.64231988]
[0.36073322 0.63926678]
[0.36080763 0.63919237]
[0.35714366 0.64285634]
[0.35542843 0.64457157]
[0.35301912 0.64698088]
[0.34736711 0.65263289]
[0.34591972 0.65408028]
[0.34089089 0.65910911]
[0.33705535 0.66294465]
[0.33517603 0.66482397]
[0.32924018 0.67075982]
[0.32055779 0.67944221]
[0.31793999 0.68206001]
[0.31559089 0.68440911]
[0.3172784 0.6827216]
[0.31053549 0.68946451]
[0.30126777 0.69873223]
[0.29645003 0.70354997]
[0.29676272 0.70323728]
[0.2968395 0.7031605]
[0.29487553 0.70512447]
[0.28892054 0.71107946]
[0.28545317 0.71454683]
[0.2816213 0.7183787]
[0.28024716 0.71975284]
[0.27880774 0.72119226]
[0.27499903 0.72500097]
[0.26875917 0.73124083]
[0.2690011 0.7309989]
[0.26734542 0.73265458]
[0.26441203 0.73558797]
[0.25705463 0.74294537]
[0.25631322 0.74368678]
[0.25322093 0.74677907]
[0.24989803 0.75010197]
[0.24700763 0.75299237]
[0.24537979 0.75462021]
[0.24423856 0.75576144]
[0.2426188 0.7573812]
[0.24176224 0.75823776]
[0.23922445 0.76077555]
[0.23821123 0.76178877]
[0.23384793 0.76615207]
