[4.00105311 4.50329776]
[3.91992349 4.31144326]
[3.82306256 4.17281127]
[3.72545674 4.05039745]
[3.62706408 3.94543829]
[3.5321298  3.84751634]
[3.44204385 3.755631  ]
[3.35482904 3.66671056]
[3.26972914 3.59064097]
[3.18931724 3.51481776]
[3.11297544 3.43825077]
[3.03942119 3.3676615 ]
[2.96442273 3.31646792]
[2.89474104 3.25778719]
[2.83146705 3.19019083]
[2.76722052 3.1395197 ]
[2.7075427 3.0811713]
[2.65065201 3.02422674]
[2.59471525 2.97333903]
[2.53987047 2.92862394]
[2.48892261 2.87764776]
[2.43767683 2.83789215]
[2.38940618 2.79547493]
[2.34216025 2.75770842]
[2.29622523 2.72378757]
[2.25189258 2.69119914]
[2.21041546 2.65630306]
[2.17026892 2.62337659]
[2.13102583 2.59222387]
[2.09355706 2.56211388]
[2.05802308 2.52928352]
[2.02334607 2.49737102]
[1.98858613 2.47724843]
[1.9552165  2.45277941]
[1.92343563 2.42720621]
[1.89283457 2.3963299 ]
[1.86294496 2.36834836]
[1.83359052 2.34944043]
[1.80528477 2.32611032]
[1.77791173 2.30887153]
[1.75128161 2.28331648]
[1.72518366 2.26204865]
[1.70012412 2.24154948]
[1.67642067 2.22188262]
[1.65222702 2.20760011]
[1.62876054 2.19170443]
[1.60620449 2.18109239]
[1.58375786 2.1683103 ]
[1.5621537  2.14996559]
[1.54190543 2.13099111]
[1.52151403 2.12160065]
