[0.28021808 0.71978192]
[0.32519088 0.67480912]
[0.34794938 0.65205062]
[0.35324958 0.64675042]
[0.35831542 0.64168458]
[0.36705782 0.63294218]
[0.36287017 0.63712983]
[0.35855981 0.64144019]
[0.35499806 0.64500194]
[0.3541013 0.6458987]
[0.35257122 0.64742878]
[0.3508125 0.6491875]
[0.34830538 0.65169462]
[0.34170073 0.65829927]
[0.33567542 0.66432458]
[0.33692248 0.66307752]
[0.33211083 0.66788917]
[0.32422476 0.67577524]
[0.32512232 0.67487768]
[0.32216791 0.67783209]
[0.31838452 0.68161548]
[0.31104708 0.68895292]
[0.31052316 0.68947684]
[0.30930794 0.69069206]
[0.3074961 0.6925039]
[0.30586825 0.69413175]
[0.30285797 0.69714203]
[0.30077764 0.69922236]
[0.29607178 0.70392822]
[0.29293356 0.70706644]
[0.28486235 0.71513765]
[0.28416469 0.71583531]
[0.27831311 0.72168689]
[0.27600426 0.72399574]
[0.26970341 0.73029659]
[0.26626814 0.73373186]
[0.26390468 0.73609532]
[0.26412439 0.73587561]
[0.260924 0.739076]
[0.25938327 0.74061673]
[0.25790265 0.74209735]
[0.25546123 0.74453877]
[0.25231389 0.74768611]
[0.25039943 0.74960057]
[0.24562592 0.75437408]
[0.23971356 0.76028644]
[0.24028459 0.75971541]
[0.23706379 0.76293621]
[0.23858104 0.76141896]
[0.23542751 0.76457249]
[0.23474755 0.76525245]
