[0.27692128 0.72307872]
[0.31331805 0.68668195]
[0.33796582 0.66203418]
[0.34512405 0.65487595]
[0.34587204 0.65412796]
[0.35635183 0.64364817]
[0.35830453 0.64169547]
[0.35474735 0.64525265]
[0.35474719 0.64525281]
[0.35407153 0.64592847]
[0.35117488 0.64882512]
[0.35240024 0.64759976]
[0.34643495 0.65356505]
[0.34549033 0.65450967]
[0.34578438 0.65421562]
[0.33912063 0.66087937]
[0.3347652 0.6652348]
[0.32717519 0.67282481]
[0.31862298 0.68137702]
[0.31177716 0.68822284]
[0.31189483 0.68810517]
[0.31077398 0.68922602]
[0.30699592 0.69300408]
[0.30736915 0.69263085]
[0.3055795 0.6944205]
[0.30179178 0.69820822]
[0.30029897 0.69970103]
[0.29586836 0.70413164]
[0.29162968 0.70837032]
[0.28967948 0.71032052]
[0.28266729 0.71733271]
[0.27737016 0.72262984]
[0.27515104 0.72484896]
[0.27730817 0.72269183]
[0.27837499 0.72162501]
[0.27525444 0.72474556]
[0.27303963 0.72696037]
[0.26707561 0.73292439]
[0.2682733 0.7317267]
[0.26540423 0.73459577]
[0.264658 0.735342]
[0.26298558 0.73701442]
[0.25810192 0.74189808]
[0.25203362 0.74796638]
[0.25283297 0.74716703]
[0.24813169 0.75186831]
[0.24400072 0.75599928]
[0.24070374 0.75929626]
[0.23843979 0.76156021]
[0.23194244 0.76805756]
[0.2296024 0.7703976]
