[0.27156741 0.72843259]
[0.31251606 0.68748394]
[0.33220893 0.66779107]
[0.34542659 0.65457341]
[0.35411003 0.64588997]
[0.35361075 0.64638925]
[0.34775309 0.65224691]
[0.35497407 0.64502593]
[0.35594779 0.64405221]
[0.35081426 0.64918574]
[0.34408052 0.65591948]
[0.34164872 0.65835128]
[0.33530871 0.66469129]
[0.33299405 0.66700595]
[0.32602025 0.67397975]
[0.32368456 0.67631544]
[0.32682062 0.67317938]
[0.32094831 0.67905169]
[0.32098216 0.67901784]
[0.31505265 0.68494735]
[0.31258313 0.68741687]
[0.30981514 0.69018486]
[0.30155954 0.69844046]
[0.29893842 0.70106158]
[0.30146872 0.69853128]
[0.29833216 0.70166784]
[0.29247974 0.70752026]
[0.29039111 0.70960889]
[0.28837108 0.71162892]
[0.28394425 0.71605575]
[0.27976823 0.72023177]
[0.28157638 0.71842362]
[0.28374968 0.71625032]
[0.27687421 0.72312579]
[0.26866714 0.73133286]
[0.26982089 0.73017911]
[0.26533115 0.73466885]
[0.26282459 0.73717541]
[0.26092862 0.73907138]
[0.2634275 0.7365725]
[0.25861433 0.74138567]
[0.25571608 0.74428392]
[0.25276375 0.74723625]
[0.24987214 0.75012786]
[0.24931459 0.75068541]
[0.24679566 0.75320434]
[0.2438558 0.7561442]
[0.2437451 0.7562549]
[0.24364658 0.75635342]
[0.24287035 0.75712965]
[0.23962059 0.76037941]
