[0.49874662 0.50125338]
[0.49873892 0.50126108]
[0.49873233 0.50126767]
[0.49872565 0.50127435]
[0.49871796 0.50128204]
[0.49871136 0.50128864]
[0.49870472 0.50129528]
[0.49869779 0.50130221]
[0.49869049 0.50130951]
[0.4986837 0.5013163]
[0.49867795 0.50132205]
[0.49867134 0.50132866]
[0.49866611 0.50133389]
[0.49865831 0.50134169]
[0.49865172 0.50134828]
[0.4986462 0.5013538]
[0.49864026 0.50135974]
[0.49863411 0.50136589]
[0.4986287 0.5013713]
[0.49862183 0.50137817]
[0.4986142 0.5013858]
[0.49860783 0.50139217]
[0.49860263 0.50139737]
[0.4985968 0.5014032]
[0.49859127 0.50140873]
[0.49858558 0.50141442]
[0.4985807 0.5014193]
[0.49857374 0.50142626]
[0.49856825 0.50143175]
[0.49856233 0.50143767]
[0.49855597 0.50144403]
[0.49854969 0.50145031]
[0.49854413 0.50145587]
[0.49853887 0.50146113]
[0.49853249 0.50146751]
[0.49852694 0.50147306]
[0.49851928 0.50148072]
[0.4985129 0.5014871]
[0.49850827 0.50149173]
[0.49850229 0.50149771]
[0.49849586 0.50150414]
[0.4984904 0.5015096]
[0.49848434 0.50151566]
[0.49847908 0.50152092]
[0.49847351 0.50152649]
[0.49846669 0.50153331]
[0.49846035 0.50153965]
[0.49845431 0.50154569]
[0.49844773 0.50155227]
[0.49844246 0.50155754]
[0.49843728 0.50156272]
