[0.4987628 0.5012372]
[0.49875557 0.50124443]
[0.49874846 0.50125154]
[0.49874144 0.50125856]
[0.4987347 0.5012653]
[0.49872687 0.50127313]
[0.49871919 0.50128081]
[0.49871097 0.50128903]
[0.49870393 0.50129607]
[0.49869823 0.50130177]
[0.49869165 0.50130835]
[0.49868533 0.50131467]
[0.49867742 0.50132258]
[0.49867026 0.50132974]
[0.49866355 0.50133645]
[0.49865679 0.50134321]
[0.49864999 0.50135001]
[0.4986432 0.5013568]
[0.49863766 0.50136234]
[0.4986313 0.5013687]
[0.4986244 0.5013756]
[0.49861771 0.50138229]
[0.49861096 0.50138904]
[0.49860444 0.50139556]
[0.49859803 0.50140197]
[0.49859289 0.50140711]
[0.49858632 0.50141368]
[0.49857949 0.50142051]
[0.49857307 0.50142693]
[0.49856717 0.50143283]
[0.49856077 0.50143923]
[0.49855445 0.50144555]
[0.4985477 0.5014523]
[0.49854147 0.50145853]
[0.4985349 0.5014651]
[0.4985292 0.5014708]
[0.49852245 0.50147755]
[0.49851689 0.50148311]
[0.49851098 0.50148902]
[0.49850467 0.50149533]
[0.49849842 0.50150158]
[0.49849114 0.50150886]
[0.49848404 0.50151596]
[0.498478 0.501522]
[0.4984721 0.5015279]
[0.49846692 0.50153308]
[0.49846033 0.50153967]
[0.49845382 0.50154618]
[0.49844783 0.50155217]
[0.49844168 0.50155832]
[0.49843511 0.50156489]
