[0.49874021 0.50125979]
[0.49873927 0.50126073]
[0.49873841 0.50126159]
[0.49873772 0.50126228]
[0.49873688 0.50126312]
[0.49873595 0.50126405]
[0.49873509 0.50126491]
[0.49873419 0.50126581]
[0.49873353 0.50126647]
[0.49873261 0.50126739]
[0.49873184 0.50126816]
[0.498731 0.501269]
[0.49873012 0.50126988]
[0.49872931 0.50127069]
[0.49872835 0.50127165]
[0.49872751 0.50127249]
[0.49872658 0.50127342]
[0.49872564 0.50127436]
[0.49872484 0.50127516]
[0.49872395 0.50127605]
[0.49872318 0.50127682]
[0.4987223 0.5012777]
[0.49872141 0.50127859]
[0.49872049 0.50127951]
[0.49871961 0.50128039]
[0.49871882 0.50128118]
[0.498718 0.501282]
[0.49871729 0.50128271]
[0.49871643 0.50128357]
[0.49871561 0.50128439]
[0.4987148 0.5012852]
[0.49871401 0.50128599]
[0.49871316 0.50128684]
[0.49871224 0.50128776]
[0.4987114 0.5012886]
[0.49871046 0.50128954]
[0.49870959 0.50129041]
[0.49870866 0.50129134]
[0.4987078 0.5012922]
[0.49870689 0.50129311]
[0.49870619 0.50129381]
[0.49870536 0.50129464]
[0.49870448 0.50129552]
[0.49870363 0.50129637]
[0.49870283 0.50129717]
[0.49870212 0.50129788]
[0.49870128 0.50129872]
[0.49870033 0.50129967]
[0.49869938 0.50130062]
[0.49869856 0.50130144]
[0.49869761 0.50130239]
