[0.49874467 0.50125533]
[0.49873763 0.50126237]
[0.49873161 0.50126839]
[0.49872465 0.50127535]
[0.49871803 0.50128197]
[0.49871013 0.50128987]
[0.49870298 0.50129702]
[0.4986965 0.5013035]
[0.49868813 0.50131187]
[0.49868092 0.50131908]
[0.49867317 0.50132683]
[0.49866598 0.50133402]
[0.49865858 0.50134142]
[0.49865205 0.50134795]
[0.49864464 0.50135536]
[0.49863808 0.50136192]
[0.49862864 0.50137136]
[0.49862105 0.50137895]
[0.49861381 0.50138619]
[0.4986073 0.5013927]
[0.49860082 0.50139918]
[0.49859344 0.50140656]
[0.49858643 0.50141357]
[0.49858009 0.50141991]
[0.49857392 0.50142608]
[0.49856771 0.50143229]
[0.49856131 0.50143869]
[0.49855382 0.50144618]
[0.49854664 0.50145336]
[0.49853983 0.50146017]
[0.49853351 0.50146649]
[0.49852853 0.50147147]
[0.49852126 0.50147874]
[0.498513 0.501487]
[0.49850796 0.50149204]
[0.49850101 0.50149899]
[0.49849455 0.50150545]
[0.4984877 0.5015123]
[0.49848237 0.50151763]
[0.49847399 0.50152601]
[0.49846756 0.50153244]
[0.49846148 0.50153852]
[0.49845416 0.50154584]
[0.49844691 0.50155309]
[0.49844109 0.50155891]
[0.49843441 0.50156559]
[0.49842626 0.50157374]
[0.49842025 0.50157975]
[0.49841536 0.50158464]
[0.4984083 0.5015917]
[0.49840189 0.50159811]
