[0.49875437 0.50124563]
[0.4987438 0.5012562]
[0.49873347 0.50126653]
[0.49872464 0.50127536]
[0.49871656 0.50128344]
[0.49870704 0.50129296]
[0.49869782 0.50130218]
[0.49868919 0.50131081]
[0.49867857 0.50132143]
[0.49866813 0.50133187]
[0.49866047 0.50133953]
[0.49865146 0.50134854]
[0.49864279 0.50135721]
[0.49863188 0.50136812]
[0.49862282 0.50137718]
[0.4986127 0.5013873]
[0.49860221 0.50139779]
[0.49859306 0.50140694]
[0.49858383 0.50141617]
[0.49857416 0.50142584]
[0.49856499 0.50143501]
[0.49855592 0.50144408]
[0.49854799 0.50145201]
[0.49853701 0.50146299]
[0.49852784 0.50147216]
[0.4985201 0.5014799]
[0.49850966 0.50149034]
[0.49850035 0.50149965]
[0.49849228 0.50150772]
[0.49848274 0.50151726]
[0.49847499 0.50152501]
[0.49846582 0.50153418]
[0.49845653 0.50154347]
[0.49844719 0.50155281]
[0.49843669 0.50156331]
[0.49842816 0.50157184]
[0.49841992 0.50158008]
[0.4984109 0.5015891]
[0.4984019 0.5015981]
[0.49839345 0.50160655]
[0.49838352 0.50161648]
[0.49837465 0.50162535]
[0.49836566 0.50163434]
[0.49835607 0.50164393]
[0.49834711 0.50165289]
[0.49833813 0.50166187]
[0.49832847 0.50167153]
[0.49832049 0.50167951]
[0.49831178 0.50168822]
[0.49830396 0.50169604]
[0.49829491 0.50170509]
