[0.49875966 0.50124034]
[0.49875906 0.50124094]
[0.49875853 0.50124147]
[0.49875804 0.50124196]
[0.49875762 0.50124238]
[0.49875706 0.50124294]
[0.49875656 0.50124344]
[0.49875615 0.50124385]
[0.4987557 0.5012443]
[0.49875516 0.50124484]
[0.49875467 0.50124533]
[0.49875412 0.50124588]
[0.49875363 0.50124637]
[0.49875305 0.50124695]
[0.49875254 0.50124746]
[0.4987519 0.5012481]
[0.49875134 0.50124866]
[0.49875077 0.50124923]
[0.49875018 0.50124982]
[0.49874969 0.50125031]
[0.49874925 0.50125075]
[0.49874881 0.50125119]
[0.49874832 0.50125168]
[0.49874787 0.50125213]
[0.49874751 0.50125249]
[0.49874706 0.50125294]
[0.49874653 0.50125347]
[0.49874602 0.50125398]
[0.49874555 0.50125445]
[0.498745 0.501255]
[0.49874451 0.50125549]
[0.49874395 0.50125605]
[0.49874345 0.50125655]
[0.49874297 0.50125703]
[0.49874241 0.50125759]
[0.49874188 0.50125812]
[0.49874151 0.50125849]
[0.49874101 0.50125899]
[0.49874047 0.50125953]
[0.49874003 0.50125997]
[0.49873946 0.50126054]
[0.49873902 0.50126098]
[0.49873857 0.50126143]
[0.49873807 0.50126193]
[0.49873757 0.50126243]
[0.49873704 0.50126296]
[0.49873655 0.50126345]
[0.49873606 0.50126394]
[0.49873558 0.50126442]
[0.49873514 0.50126486]
[0.49873464 0.50126536]
