[0.49872958 0.50127042]
[0.49872417 0.50127583]
[0.49871945 0.50128055]
[0.49871507 0.50128493]
[0.49871104 0.50128896]
[0.49870542 0.50129458]
[0.49869989 0.50130011]
[0.49869555 0.50130445]
[0.49869046 0.50130954]
[0.49868653 0.50131347]
[0.4986816 0.5013184]
[0.49867655 0.50132345]
[0.49867207 0.50132793]
[0.49866794 0.50133206]
[0.49866375 0.50133625]
[0.498659 0.501341]
[0.49865505 0.50134495]
[0.49865039 0.50134961]
[0.49864521 0.50135479]
[0.49864046 0.50135954]
[0.49863557 0.50136443]
[0.49863069 0.50136931]
[0.49862613 0.50137387]
[0.49862176 0.50137824]
[0.49861809 0.50138191]
[0.49861312 0.50138688]
[0.4986083 0.5013917]
[0.49860417 0.50139583]
[0.49860096 0.50139904]
[0.49859577 0.50140423]
[0.4985901 0.5014099]
[0.49858526 0.50141474]
[0.49858113 0.50141887]
[0.49857659 0.50142341]
[0.49857214 0.50142786]
[0.49856704 0.50143296]
[0.49856288 0.50143712]
[0.49855837 0.50144163]
[0.49855396 0.50144604]
[0.49854906 0.50145094]
[0.49854333 0.50145667]
[0.49853892 0.50146108]
[0.49853467 0.50146533]
[0.49852985 0.50147015]
[0.49852524 0.50147476]
[0.49852053 0.50147947]
[0.49851616 0.50148384]
[0.49851266 0.50148734]
[0.49850903 0.50149097]
[0.49850475 0.50149525]
[0.4985001 0.5014999]
