[0.49875555 0.50124445]
[0.49874911 0.50125089]
[0.49874257 0.50125743]
[0.49873667 0.50126333]
[0.49873032 0.50126968]
[0.49872298 0.50127702]
[0.49871616 0.50128384]
[0.49870948 0.50129052]
[0.49870209 0.50129791]
[0.49869595 0.50130405]
[0.49868914 0.50131086]
[0.49868186 0.50131814]
[0.49867625 0.50132375]
[0.49867079 0.50132921]
[0.49866344 0.50133656]
[0.49865749 0.50134251]
[0.49865149 0.50134851]
[0.49864483 0.50135517]
[0.49863736 0.50136264]
[0.4986328 0.5013672]
[0.49862591 0.50137409]
[0.49861977 0.50138023]
[0.49861306 0.50138694]
[0.49860749 0.50139251]
[0.49860188 0.50139812]
[0.49859674 0.50140326]
[0.49859027 0.50140973]
[0.49858441 0.50141559]
[0.4985794 0.5014206]
[0.49857297 0.50142703]
[0.49856626 0.50143374]
[0.49855921 0.50144079]
[0.49855298 0.50144702]
[0.49854706 0.50145294]
[0.49853922 0.50146078]
[0.49853345 0.50146655]
[0.49852786 0.50147214]
[0.49852186 0.50147814]
[0.49851527 0.50148473]
[0.49850868 0.50149132]
[0.49850239 0.50149761]
[0.49849664 0.50150336]
[0.49848986 0.50151014]
[0.49848297 0.50151703]
[0.4984766 0.5015234]
[0.49847028 0.50152972]
[0.49846388 0.50153612]
[0.49845698 0.50154302]
[0.49845019 0.50154981]
[0.49844286 0.50155714]
[0.49843601 0.50156399]
