[0.49873897 0.50126103]
[0.49873605 0.50126395]
[0.49873344 0.50126656]
[0.4987302 0.5012698]
[0.49872628 0.50127372]
[0.49872324 0.50127676]
[0.49872016 0.50127984]
[0.49871745 0.50128255]
[0.49871405 0.50128595]
[0.49871105 0.50128895]
[0.49870808 0.50129192]
[0.49870512 0.50129488]
[0.49870193 0.50129807]
[0.49869859 0.50130141]
[0.49869501 0.50130499]
[0.49869187 0.50130813]
[0.49868885 0.50131115]
[0.49868636 0.50131364]
[0.4986829 0.5013171]
[0.49867958 0.50132042]
[0.49867654 0.50132346]
[0.49867335 0.50132665]
[0.49867046 0.50132954]
[0.49866727 0.50133273]
[0.49866417 0.50133583]
[0.49866123 0.50133877]
[0.49865809 0.50134191]
[0.49865473 0.50134527]
[0.49865131 0.50134869]
[0.49864877 0.50135123]
[0.49864578 0.50135422]
[0.4986431 0.5013569]
[0.49864003 0.50135997]
[0.49863646 0.50136354]
[0.49863331 0.50136669]
[0.4986299 0.5013701]
[0.49862701 0.50137299]
[0.49862418 0.50137582]
[0.49862102 0.50137898]
[0.49861755 0.50138245]
[0.49861454 0.50138546]
[0.4986113 0.5013887]
[0.49860863 0.50139137]
[0.49860541 0.50139459]
[0.49860193 0.50139807]
[0.49859948 0.50140052]
[0.49859643 0.50140357]
[0.49859326 0.50140674]
[0.49859025 0.50140975]
[0.49858688 0.50141312]
[0.49858416 0.50141584]
