[0.4987426 0.5012574]
[0.49873711 0.50126289]
[0.49873098 0.50126902]
[0.49872565 0.50127435]
[0.49872032 0.50127968]
[0.49871458 0.50128542]
[0.49870888 0.50129112]
[0.49870314 0.50129686]
[0.49869781 0.50130219]
[0.49869138 0.50130862]
[0.49868581 0.50131419]
[0.49868037 0.50131963]
[0.49867566 0.50132434]
[0.49867026 0.50132974]
[0.49866457 0.50133543]
[0.49865786 0.50134214]
[0.49865219 0.50134781]
[0.49864714 0.50135286]
[0.49864228 0.50135772]
[0.49863572 0.50136428]
[0.4986301 0.5013699]
[0.49862504 0.50137496]
[0.49861958 0.50138042]
[0.49861531 0.50138469]
[0.4986097 0.5013903]
[0.49860426 0.50139574]
[0.49859887 0.50140113]
[0.49859331 0.50140669]
[0.49858747 0.50141253]
[0.49858235 0.50141765]
[0.49857647 0.50142353]
[0.49857137 0.50142863]
[0.49856697 0.50143303]
[0.49856177 0.50143823]
[0.49855647 0.50144353]
[0.49855118 0.50144882]
[0.49854517 0.50145483]
[0.49854018 0.50145982]
[0.49853505 0.50146495]
[0.49852956 0.50147044]
[0.49852421 0.50147579]
[0.49852011 0.50147989]
[0.49851486 0.50148514]
[0.49850964 0.50149036]
[0.49850492 0.50149508]
[0.49850048 0.50149952]
[0.49849489 0.50150511]
[0.4984905 0.5015095]
[0.49848578 0.50151422]
[0.49848016 0.50151984]
[0.4984755 0.5015245]
