[0.49872304 0.50127696]
[0.49872116 0.50127884]
[0.49871937 0.50128063]
[0.49871763 0.50128237]
[0.49871616 0.50128384]
[0.49871414 0.50128586]
[0.49871238 0.50128762]
[0.49871051 0.50128949]
[0.49870876 0.50129124]
[0.49870684 0.50129316]
[0.49870496 0.50129504]
[0.49870319 0.50129681]
[0.49870108 0.50129892]
[0.49869881 0.50130119]
[0.49869737 0.50130263]
[0.49869589 0.50130411]
[0.49869458 0.50130542]
[0.4986924 0.5013076]
[0.49869068 0.50130932]
[0.49868909 0.50131091]
[0.49868707 0.50131293]
[0.49868545 0.50131455]
[0.49868362 0.50131638]
[0.49868212 0.50131788]
[0.4986805 0.5013195]
[0.49867894 0.50132106]
[0.49867721 0.50132279]
[0.49867548 0.50132452]
[0.49867383 0.50132617]
[0.49867226 0.50132774]
[0.49867062 0.50132938]
[0.49866901 0.50133099]
[0.49866712 0.50133288]
[0.49866522 0.50133478]
[0.49866377 0.50133623]
[0.49866176 0.50133824]
[0.49866006 0.50133994]
[0.49865845 0.50134155]
[0.49865662 0.50134338]
[0.49865515 0.50134485]
[0.49865372 0.50134628]
[0.49865196 0.50134804]
[0.4986504 0.5013496]
[0.49864866 0.50135134]
[0.49864689 0.50135311]
[0.49864536 0.50135464]
[0.49864302 0.50135698]
[0.49864159 0.50135841]
[0.49863979 0.50136021]
[0.49863808 0.50136192]
[0.49863618 0.50136382]
