[0.49875503 0.50124497]
[0.49874596 0.50125404]
[0.49873748 0.50126252]
[0.49872819 0.50127181]
[0.49871824 0.50128176]
[0.49870815 0.50129185]
[0.49869918 0.50130082]
[0.49868952 0.50131048]
[0.49868092 0.50131908]
[0.49867067 0.50132933]
[0.49866069 0.50133931]
[0.49864999 0.50135001]
[0.49864242 0.50135758]
[0.49863416 0.50136584]
[0.49862588 0.50137412]
[0.49861774 0.50138226]
[0.49860701 0.50139299]
[0.49859817 0.50140183]
[0.49858986 0.50141014]
[0.4985796 0.5014204]
[0.49857166 0.50142834]
[0.49856341 0.50143659]
[0.49855429 0.50144571]
[0.49854784 0.50145216]
[0.49854069 0.50145931]
[0.49853183 0.50146817]
[0.49852502 0.50147498]
[0.49851654 0.50148346]
[0.49850783 0.50149217]
[0.49849818 0.50150182]
[0.49848905 0.50151095]
[0.49848055 0.50151945]
[0.49847113 0.50152887]
[0.49846331 0.50153669]
[0.4984564 0.5015436]
[0.49844783 0.50155217]
[0.49844081 0.50155919]
[0.4984336 0.5015664]
[0.49842508 0.50157492]
[0.49841445 0.50158555]
[0.49840605 0.50159395]
[0.49839652 0.50160348]
[0.49838707 0.50161293]
[0.49837817 0.50162183]
[0.49836875 0.50163125]
[0.49836152 0.50163848]
[0.49835277 0.50164723]
[0.49834437 0.50165563]
[0.49833616 0.50166384]
[0.49832751 0.50167249]
[0.49831997 0.50168003]
