[0.49875276 0.50124724]
[0.49875145 0.50124855]
[0.49875 0.50125]
[0.49874843 0.50125157]
[0.4987471 0.5012529]
[0.4987455 0.5012545]
[0.49874402 0.50125598]
[0.49874245 0.50125755]
[0.49874079 0.50125921]
[0.49873897 0.50126103]
[0.49873725 0.50126275]
[0.49873581 0.50126419]
[0.49873441 0.50126559]
[0.49873298 0.50126702]
[0.49873142 0.50126858]
[0.49872993 0.50127007]
[0.49872846 0.50127154]
[0.49872713 0.50127287]
[0.49872564 0.50127436]
[0.49872423 0.50127577]
[0.49872276 0.50127724]
[0.49872121 0.50127879]
[0.49871972 0.50128028]
[0.49871836 0.50128164]
[0.49871703 0.50128297]
[0.49871558 0.50128442]
[0.49871474 0.50128526]
[0.49871328 0.50128672]
[0.4987121 0.5012879]
[0.49871077 0.50128923]
[0.49870929 0.50129071]
[0.49870804 0.50129196]
[0.49870642 0.50129358]
[0.49870501 0.50129499]
[0.49870379 0.50129621]
[0.49870218 0.50129782]
[0.49870087 0.50129913]
[0.49869936 0.50130064]
[0.49869765 0.50130235]
[0.49869611 0.50130389]
[0.49869452 0.50130548]
[0.49869334 0.50130666]
[0.49869193 0.50130807]
[0.49869063 0.50130937]
[0.49868912 0.50131088]
[0.49868754 0.50131246]
[0.49868617 0.50131383]
[0.49868467 0.50131533]
[0.49868314 0.50131686]
[0.49868169 0.50131831]
[0.49868012 0.50131988]
