[0.49877468 0.50122532]
[0.49877021 0.50122979]
[0.49876557 0.50123443]
[0.49876118 0.50123882]
[0.49875633 0.50124367]
[0.49875182 0.50124818]
[0.49874775 0.50125225]
[0.49874427 0.50125573]
[0.49874027 0.50125973]
[0.49873646 0.50126354]
[0.49873162 0.50126838]
[0.49872682 0.50127318]
[0.4987227 0.5012773]
[0.49871771 0.50128229]
[0.49871318 0.50128682]
[0.49870925 0.50129075]
[0.49870494 0.50129506]
[0.49870106 0.50129894]
[0.49869661 0.50130339]
[0.49869269 0.50130731]
[0.49868818 0.50131182]
[0.49868446 0.50131554]
[0.4986799 0.5013201]
[0.49867611 0.50132389]
[0.49867171 0.50132829]
[0.49866804 0.50133196]
[0.49866365 0.50133635]
[0.49865925 0.50134075]
[0.49865502 0.50134498]
[0.49865113 0.50134887]
[0.49864662 0.50135338]
[0.49864272 0.50135728]
[0.49863786 0.50136214]
[0.49863402 0.50136598]
[0.4986308 0.5013692]
[0.49862598 0.50137402]
[0.49862168 0.50137832]
[0.49861847 0.50138153]
[0.49861486 0.50138514]
[0.49861042 0.50138958]
[0.49860602 0.50139398]
[0.49860282 0.50139718]
[0.4985994 0.5014006]
[0.49859557 0.50140443]
[0.4985917 0.5014083]
[0.49858684 0.50141316]
[0.49858307 0.50141693]
[0.4985793 0.5014207]
[0.49857666 0.50142334]
[0.49857257 0.50142743]
[0.49856817 0.50143183]
