[0.49874004 0.50125996]
[0.49873219 0.50126781]
[0.4987221 0.5012779]
[0.49871476 0.50128524]
[0.4987068 0.5012932]
[0.49869925 0.50130075]
[0.49869102 0.50130898]
[0.49868241 0.50131759]
[0.49867494 0.50132506]
[0.49866826 0.50133174]
[0.49866149 0.50133851]
[0.49865289 0.50134711]
[0.49864428 0.50135572]
[0.49863624 0.50136376]
[0.49862844 0.50137156]
[0.49862198 0.50137802]
[0.4986143 0.5013857]
[0.4986062 0.5013938]
[0.4985983 0.5014017]
[0.49859004 0.50140996]
[0.49858254 0.50141746]
[0.49857488 0.50142512]
[0.49856636 0.50143364]
[0.49855924 0.50144076]
[0.49855296 0.50144704]
[0.49854637 0.50145363]
[0.49853754 0.50146246]
[0.49853014 0.50146986]
[0.49852163 0.50147837]
[0.49851501 0.50148499]
[0.49850744 0.50149256]
[0.49849973 0.50150027]
[0.49849205 0.50150795]
[0.49848659 0.50151341]
[0.49847957 0.50152043]
[0.49847381 0.50152619]
[0.49846657 0.50153343]
[0.49845994 0.50154006]
[0.49845191 0.50154809]
[0.49844543 0.50155457]
[0.49843688 0.50156312]
[0.49842901 0.50157099]
[0.49842231 0.50157769]
[0.49841434 0.50158566]
[0.49840782 0.50159218]
[0.49840148 0.50159852]
[0.49839422 0.50160578]
[0.49838809 0.50161191]
[0.49838159 0.50161841]
[0.49837596 0.50162404]
[0.4983691 0.5016309]
